epoch	split	label	label_value	mean_cosine_distance	n_pairs
0	train	P	1	0.0010325426448033073	7451
0	train	N	0	0.0010231763757857833	7246
0	validation	P	1	0.0008871638774871826	100
0	validation	N	0	0.0009482257144967306	97
1	train	P	1	0.3858160011369324	7451
1	train	N	0	0.3842415259814282	7246
1	validation	P	1	0.3483251225948334	100
1	validation	N	0	0.3325260238549144	97
2	train	P	1	0.42403653222848037	7451
2	train	N	0	0.42780636369013963	7246
2	validation	P	1	0.38973220586776736	100
2	validation	N	0	0.372876948917035	97
3	train	P	1	0.44025987981070036	7451
3	train	N	0	0.44953136843210945	7246
3	validation	P	1	0.40945556879043576	100
3	validation	N	0	0.3928283760228108	97
4	train	P	1	0.4332184301032554	7451
4	train	N	0	0.4475089330683747	7246
4	validation	P	1	0.4027997589111328	100
4	validation	N	0	0.3893028141297016	97
5	train	P	1	0.4358267881393177	7451
5	train	N	0	0.4553929928781708	7246
5	validation	P	1	0.40427996158599855	100
5	validation	N	0	0.3909770963118248	97
6	train	P	1	0.4526133621767725	7451
6	train	N	0	0.47723836900284367	7246
6	validation	P	1	0.42544031381607056	100
6	validation	N	0	0.4123338276577979	97
7	train	P	1	0.44068498480897544	7451
7	train	N	0	0.47042199591724315	7246
7	validation	P	1	0.4132210063934326	100
7	validation	N	0	0.40293454017835795	97
8	train	P	1	0.449032841009064	7451
8	train	N	0	0.48474913432457944	7246
8	validation	P	1	0.42128911018371584	100
8	validation	N	0	0.41197047036947665	97
9	train	P	1	0.4386744237461277	7451
9	train	N	0	0.47966237177415805	7246
9	validation	P	1	0.4127858781814575	100
9	validation	N	0	0.40530732734916136	97
10	train	P	1	0.4392388003126213	7451
10	train	N	0	0.4865632342134034	7246
10	validation	P	1	0.41423558950424194	100
10	validation	N	0	0.4084316197129869	97
11	train	P	1	0.4432322804583205	7451
11	train	N	0	0.4976217905329368	7246
11	validation	P	1	0.42177662134170535	100
11	validation	N	0	0.4152152513720326	97
12	train	P	1	0.4333222909447907	7451
12	train	N	0	0.4942830387248935	7246
12	validation	P	1	0.41578279495239256	100
12	validation	N	0	0.41054314190579444	97
13	train	P	1	0.43596240059351254	7451
13	train	N	0	0.5058142667707738	7246
13	validation	P	1	0.4184160852432251	100
13	validation	N	0	0.4135778589346974	97
14	train	P	1	0.4364511584966811	7451
14	train	N	0	0.5159842823540806	7246
14	validation	P	1	0.4229099607467651	100
14	validation	N	0	0.41825087783262904	97
15	train	P	1	0.43371748233094276	7451
15	train	N	0	0.523072295086245	7246
15	validation	P	1	0.4234912443161011	100
15	validation	N	0	0.41967460543838975	97
